State,"Benzan, Dennis A.","Carlone, Dennis J.","Cheung, Leland","Devereux, Janis A.","Kelley, Craig","Maher, David P.","Mazen, Nadeem","McGovern, Marc","Simmons, E. Denise","Toomey Jr., Timothy J."
January 2010,0,0,853,0,0,0,0,0,0,500
February 2010,1500,0,100,0,0,0,0,0,1500,0
March 2010,2000,0,0,0,0,0,0,0,4850,325
April 2010,500,0,0,0,0,0,0,0,200,500
May 2010,0,0,0,0,0,200,0,0,0,0
June 2010,0,0,0,0,0,0,0,0,0,4853
July 2010,0,0,0,0,0,0,0,0,0,2000
September 2010,0,0,0,0,0,5150,0,0,0,0
October 2010,0,0,0,0,0,675,0,0,0,300
November 2010,0,0,800,0,0,1000,0,0,0,0
December 2010,0,0,2250,0,500,175,0,0,550,400
January 2011,0,0,100,0,0,0,0,0,0,0
February 2011,0,0,900,0,0,0,0,0,0,0
March 2011,0,0,250,0,0,0,0,0,775,0
April 2011,0,0,1500,0,0,0,0,0,200,500
May 2011,0,0,4400,0,0,3875,0,0,200,500
June 2011,0,0,500,0,0,500,0,0,0,6000
July 2011,0,0,0,0,0,700,0,0,0,800
August 2011,0,0,1200,0,0,1500,0,0,1150,0
September 2011,0,0,1625,0,0,0,0,0,2900,2475
October 2011,0,0,3200,0,200,8200,0,0,1778,2753
November 2011,0,0,350,0,500,853,0,0,550,2025
December 2011,0,0,750,0,0,750,0,0,0,1250
January 2012,0,0,200,0,0,0,0,0,0,1450
March 2012,0,0,0,0,0,200,0,0,0,0
April 2012,0,0,200,0,0,0,0,0,0,0
May 2012,0,0,3475,0,0,0,0,0,0,0
June 2012,0,0,600,0,0,0,0,0,0,6950
July 2012,0,0,0,0,0,0,0,0,275,450
August 2012,0,0,2675,0,0,500,0,0,50,600
September 2012,0,0,0,0,0,0,0,0,200,0
October 2012,0,0,100,0,0,0,0,0,800,1425
November 2012,0,0,500,0,0,0,0,0,250,1550
December 2012,0,0,900,0,0,8800,0,0,1700,4600
January 2013,0,0,3000,0,0,100,0,0,100,0
February 2013,500,0,625,0,0,0,0,500,1300,250
March 2013,500,0,84,0,0,0,0,0,0,0
April 2013,700,0,500,0,0,0,0,1000,0,700
May 2013,500,0,2725,0,0,0,0,0,0,1000
June 2013,700,0,400,0,500,0,0,350,450,4375
July 2013,0,0,1250,0,0,0,0,7250,1300,1100
August 2013,200,700,200,0,0,11575,500,2200,1150,500
September 2013,500,800,200,0,200,600,0,700,3050,0
October 2013,1250,500,7000,0,200,3850,0,4750,2700,1950
November 2013,1350,864,3850,0,550,4800,0,1000,1250,6500
December 2013,0,200,0,0,0,250,0,450,0,0
January 2014,0,0,4000,0,0,0,0,0,0,0
February 2014,0,0,8000,0,0,0,100,0,0,0
March 2014,0,0,6420,0,0,0,850,2200,200,1850
April 2014,0,0,3600,0,0,0,250,7350,1250,0
May 2014,0,0,750,0,0,0,0,2850,0,0
June 2014,0,0,4375,0,0,0,0,150,0,4100
July 2014,0,0,10350,0,0,0,0,300,100,650
August 2014,0,0,1100,0,0,0,0,0,1550,0
September 2014,500,250,1700,0,0,0,0,400,500,0
October 2014,0,0,0,0,0,9350,0,0,500,0
November 2014,0,0,0,0,0,11525,0,0,2000,3250
December 2014,2250,250,0,0,0,250,450,1100,500,4300
January 2015,600,1000,1550,0,0,500,0,1450,250,500
February 2015,0,0,1200,25,0,0,0,2000,3700,0
March 2015,0,0,600,200,0,0,0,2450,2350,500
April 2015,500,0,800,0,0,0,0,3250,850,0
May 2015,0,500,1200,0,500,0,350,250,500,500
June 2015,4000,0,6001,0,700,4000,0,4900,4050,8150
July 2015,3750,250,4850,50,0,0,0,8850,0,1400
August 2015,2100,1500,100,500,500,3575,0,6100,200,0
September 2015,5550,0,2400,150,225,1550,50,3350,4100,1000
October 2015,0,0,0,0,500,2300,0,500,750,0
